session_id,date,prompt_count,total_word_count,median_word_count,category_distribution,total_tokens_in,total_tokens_out,total_cache_read,total_cache_create,total_cost_usd,total_tool_calls,total_agents_spawned,agent_types_used,model,platform
c416f0145b6b,2026-01-16,3,67,29,"{""tooling"":1,""audio"":1,""save"":1}",9,3065,38916,75370,0.57,3,1,gamer-critic,claude-opus-4-5-20251101,mac
ffd0ea2e2376,2026-01-16,20,1496,11,"{""other"":9,""ai"":2,""devtools"":2,""tooling"":1,""system"":1,""content"":1,""gamestate"":1,""build"":1,""networking"":1,""documentation"":1}",48,1034,671789,391515,2.81,5,0,,claude-opus-4-5-20251101,mac
f39b1c826df3,2026-01-16,264,69281,41,"{""networking"":52,""other"":32,""system"":31,""ai"":29,""gamestate"":23,""ecs"":18,""combat"":16,""devtools"":12,""ui"":9,""debugging"":6,""confirmation"":5,""tooling"":5,""rendering"":4,""spawning"":4,""hero"":3,""planning"":3,""audio"":2,""dungeon"":2,""physics"":2,""artwork"":2,""input"":2,""save"":1,""content"":1}",672,6849,9821702,7371839,45.49,15,8,"code-reviewer-game-dev,ecs-component-designer,network-protocol-designer",claude-opus-4-5-20251101,mac
3f368a06a0db,2026-01-16,14,5383,10,"{""gamestate"":3,""networking"":3,""system"":2,""other"":2,""confirmation"":1,""content"":1,""tooling"":1,""combat"":1}",36,18,735934,317424,2.35,1,0,,claude-opus-4-5-20251101,mac
8a83077b23a7,2026-01-16,36,6815,32,"{""networking"":12,""combat"":9,""system"":5,""ecs"":3,""physics"":2,""other"":2,""confirmation"":1,""devtools"":1,""ui"":1}",93,1448,1484688,637004,4.14,2,1,network-protocol-designer,claude-opus-4-5-20251101,mac
598c7f73f2b1,2026-01-16,1,8,8,"{""other"":1}",3,1,17510,13655,0.09,0,0,,claude-opus-4-5-20251101,mac
0f8ab8d09b3c,2026-01-18,2,94,47,"{""ui"":1,""tooling"":1}",6,9,32470,17515,0.08,0,0,,claude-opus-4-5-20251101,mac
014f314fcf02,2026-01-19,26,4625,52,"{""networking"":9,""system"":5,""other"":3,""gamestate"":2,""ecs"":2,""dungeon"":2,""devtools"":1,""save"":1,""debugging"":1}",60,2176,676107,519532,3.29,5,4,"code-reviewer-game-dev,network-protocol-designer",claude-opus-4-5-20251101,mac
35939372d556,2026-01-19,5,949,51,"{""combat"":3,""ai"":1,""hero"":1}",15,1222,97520,81120,0.59,1,1,game-design-brainstorm,claude-opus-4-5-20251101,mac
050cb510e58c,2026-01-19,6,545,114,"{""dungeon"":4,""gamestate"":1,""content"":1}",18,29,14118,172102,0.8,0,0,,claude-haiku-4-5-20251001,mac
3e3ecf8c6faf,2026-01-19,11,1806,40,"{""gamestate"":2,""networking"":2,""other"":2,""system"":2,""dungeon"":1,""save"":1,""ai"":1}",27,359,221757,250897,1.46,1,0,,claude-opus-4-5-20251101,mac
0cdc7e2014bd,2026-01-19,23,5503,95,"{""networking"":19,""system"":3,""ui"":1}",54,1406,244684,589733,3.31,1,0,,claude-opus-4-5-20251101,mac
e0281b9fd5b3,2026-01-19,48,13137,116,"{""networking"":37,""gamestate"":3,""debugging"":3,""other"":3,""ecs"":1,""system"":1}",141,1420,858620,1240142,6.27,3,2,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
5535a0e91d14,2026-01-20,31,6715,78,"{""combat"":13,""rendering"":5,""artwork"":3,""networking"":2,""ecs"":2,""other"":2,""system"":1,""ai"":1,""content"":1,""game_design"":1}",90,2293,965643,875876,5.35,6,2,"game-design-brainstorm,sprite-2d-artist",claude-opus-4-5-20251101,mac
e1116000781b,2026-01-20,23,5023,68,"{""networking"":13,""system"":3,""devtools"":2,""ecs"":1,""physics"":1,""combat"":1,""confirmation"":1,""tooling"":1}",54,51,357936,475095,2.47,1,0,,claude-opus-4-5-20251101,mac
d23e7402a698,2026-01-20,1,12,12,"{""tooling"":1}",3,2,17606,12355,0.09,0,0,,claude-opus-4-5-20251101,mac
771398a59b88,2026-01-20,2,30,15,"{""ai"":1,""other"":1}",6,2,47925,23248,0.17,0,0,,claude-opus-4-5-20251101,mac
0c9bfb34425a,2026-01-20,36,8113,30,"{""networking"":22,""system"":8,""ecs"":2,""confirmation"":1,""devtools"":1,""spawning"":1,""ai"":1}",78,1598,1200459,707227,4.61,3,0,,claude-opus-4-5-20251101,mac
8bb16f2b4358,2026-01-20,23,2581,14,"{""system"":5,""networking"":5,""combat"":5,""other"":3,""spawning"":2,""physics"":1,""ai"":1,""ui"":1}",54,1415,714330,621649,4.11,4,0,,claude-opus-4-5-20251101,mac
81fd68e5931e,2026-01-21,5,112,12,"{""spawning"":2,""dungeon"":1,""system"":1,""other"":1}",12,142,87267,34185,0.16,1,0,,claude-opus-4-5-20251101,mac
af6477e02d43,2026-01-21,65,15241,52,"{""networking"":44,""system"":8,""other"":3,""tooling"":2,""devtools"":2,""rendering"":2,""confirmation"":2,""debugging"":1,""ecs"":1}",162,5454,2650245,1450692,9.73,3,2,"code-reviewer-game-dev,ecs-component-designer",claude-opus-4-5-20251101,mac
fcc3499f6fd8,2026-01-21,15,3064,86,"{""networking"":11,""gamestate"":2,""devtools"":1,""ai"":1}",45,580,332225,207103,0.93,1,0,,claude-opus-4-5-20251101,mac
022ef490eda5,2026-01-21,9,2434,160,"{""networking"":8,""system"":1}",24,16,172475,103728,0.49,0,0,,claude-opus-4-5-20251101,mac
a8ce270ab63f,2026-01-21,46,12431,133,"{""networking"":9,""ui"":8,""gamestate"":6,""system"":4,""ecs"":4,""debugging"":3,""dungeon"":3,""hero"":2,""save"":2,""devtools"":1,""combat"":1,""ai"":1,""audio"":1,""tooling"":1}",123,2248,1004277,1233055,7.12,2,2,"code-reviewer-game-dev,ui-and-ux-agent",claude-opus-4-5-20251101,mac
d2b190cac2be,2026-01-21,3,215,69,"{""networking"":2,""save"":1}",9,12,41075,29725,0.1,0,0,,claude-haiku-4-5-20251001,mac
6b863e9c881f,2026-01-21,5,320,37,"{""networking"":4,""system"":1}",12,16,51393,50924,0.14,0,0,,claude-opus-4-5-20251101,mac
74111ccc8388,2026-01-21,2,129,64,"{""networking"":2}",6,9,17606,33681,0.12,0,0,,claude-opus-4-5-20251101,mac
3dc7dd149997,2026-01-21,6,964,110,"{""networking"":4,""gamestate"":1,""tooling"":1}",18,17,31643,98802,0.24,0,0,,claude-haiku-4-5-20251001,mac
